unique_subj_id,modalities
dADNI_s00570,t1w
dADNI_s00571,t1w
dADNI_s00572,t1w_flair
dADNI_s00573,t1w
dADNI_s00574,t1w
dADNI_s00575,t1w
dADNI_s00576,t1w
dADNI_s00577,t1w_flair_bold
dADNI_s00578,t1w_flair_bold
dADNI_s00579,t1w_flair_bold
dADNI_s00580,t1w_flair_bold
dADNI_s00581,t1w_flair_bold
dADNI_s00582,t1w_flair_bold
dADNI_s00583,t1w_flair_bold
dADNI_s00584,t1w_flair_bold
dADNI_s00585,t1w_flair_bold
dADNI_s00586,t1w_flair_bold
dADNI_s00587,t1w_flair_bold
dADNI_s00588,t1w_flair_bold
dADNI_s00589,t1w_flair_bold
dADNI_s00590,t1w_flair_bold
dADNI_s00591,t1w_flair_bold
dADNI_s00592,t1w_flair_bold
dADNI_s00593,t1w_flair_bold
dADNI_s00594,t1w_flair_bold
dADNI_s00595,t1w_flair_bold
dADNI_s00596,t1w
dADNI_s00597,t1w
dADNI_s00598,t1w
dADNI_s00599,t1w
dADNI_s00600,t1w
dADNI_s00601,t1w
dADNI_s00602,t1w_flair_dti_bold
dADNI_s00603,t1w
dADNI_s00604,t1w
dADNI_s00605,t1w
dADNI_s00606,t1w
dADNI_s00607,t1w_flair
dADNI_s00608,t1w_flair_dti_bold
dADNI_s00609,t1w_flair
dADNI_s00610,t1w_flair
dADNI_s00611,t1w_flair_dti_bold
dADNI_s00612,t1w_flair
dADNI_s00613,t1w_flair
dADNI_s00614,t1w_flair_dti_bold
dADNI_s00615,t1w_flair
dADNI_s00616,t1w_flair
dADNI_s00617,t1w_flair
dADNI_s00618,t1w_flair_dti_bold
dADNI_s00619,t1w
dADNI_s00620,t1w
dADNI_s00621,t1w
dADNI_s00622,t1w
dADNI_s00623,t1w
dADNI_s00624,t1w
dADNI_s00625,t1w
dADNI_s00626,t1w
dADNI_s00627,t1w
dADNI_s00628,t1w_flair_dti
dADNI_s00629,t1w
dADNI_s00630,t1w
dADNI_s00631,t1w
dADNI_s00632,t1w
dADNI_s00633,t1w
dADNI_s00634,t1w
dADNI_s00635,t1w
dADNI_s00636,t1w_flair_dti
dADNI_s00637,t1w
dADNI_s00638,t1w_flair_dti
dADNI_s00639,t1w
dADNI_s00640,t1w
dADNI_s00641,t1w
dADNI_s00642,t1w
dADNI_s00643,t1w
dADNI_s00644,t1w
dADNI_s00645,t1w
dADNI_s00646,t1w
dADNI_s00647,t1w_flair_dti_bold
dADNI_s00648,t1w_flair_dti
dADNI_s00649,t1w_flair_dti
dADNI_s00650,t1w_flair
dADNI_s00651,t1w_flair
dADNI_s00652,t1w_flair
dADNI_s00653,t1w_flair
dADNI_s00654,t1w_flair_dti
dADNI_s00655,t1w_flair
dADNI_s00656,t1w_flair_dti
dADNI_s00657,t1w
dADNI_s00658,t1w_flair_dti_bold
dADNI_s00659,t1w
dADNI_s00660,t1w_flair
dADNI_s00661,t1w
dADNI_s00662,t1w
dADNI_s00663,t1w_flair
dADNI_s00664,t1w_flair
dADNI_s00665,t1w_flair
dADNI_s00666,t1w_flair
dADNI_s00667,t1w_flair_dti_bold
dADNI_s00668,t1w_flair
dADNI_s00669,t1w_flair
dADNI_s00670,t1w_flair_dti_bold
dADNI_s00671,t1w_flair
dADNI_s00672,t1w_flair
dADNI_s00673,t1w_flair
dADNI_s00674,t1w
dADNI_s00675,t1w
dADNI_s00676,t1w
dADNI_s00677,t1w
dADNI_s00678,t1w
dADNI_s00679,t1w
dADNI_s00680,t1w
dADNI_s00681,t1w
dADNI_s00682,t1w
dADNI_s00683,t1w
dADNI_s00684,t1w
dADNI_s00685,t1w
dADNI_s00686,t1w_flair
dADNI_s00687,t1w
dADNI_s00688,t1w
dADNI_s00689,t1w_flair
dADNI_s00690,t1w_flair_dti_bold
dADNI_s00691,t1w_flair_dti
dADNI_s00692,t1w_flair
dADNI_s00693,t1w_flair_dti
dADNI_s00694,t1w_flair_dti_bold
dADNI_s00695,t1w_flair
dADNI_s00696,t1w_flair
dADNI_s00697,t1w_flair
dADNI_s00698,t1w_flair
dADNI_s00699,t1w_flair
dADNI_s00700,t1w_flair
dADNI_s00701,t1w_flair
dADNI_s00702,t1w_flair
dADNI_s00703,t1w_flair
dADNI_s00704,t1w_flair
dADNI_s00705,t1w_flair
dADNI_s00706,t1w_flair
dADNI_s00707,t1w_flair
dADNI_s00708,t1w_flair
dADNI_s00709,t1w_flair
dADNI_s00710,t1w
dADNI_s00711,t1w_flair_dti_bold
dADNI_s00712,t1w
dADNI_s00713,t1w_flair_dti_bold
dADNI_s00714,t1w_flair_dti_bold
dADNI_s00715,t1w
dADNI_s00716,t1w
dADNI_s00717,t1w
dADNI_s00718,t1w
dADNI_s00719,t1w_flair
dADNI_s00720,t1w
dADNI_s00721,t1w
dADNI_s00722,t1w_flair
dADNI_s00723,t1w
dADNI_s00724,t1w
dADNI_s00725,t1w_flair
dADNI_s00726,t1w_flair
dADNI_s00727,t1w_flair_dti_bold
dADNI_s00728,t1w_flair_dti_bold
dADNI_s00729,t1w_flair
dADNI_s00730,t1w_flair
dADNI_s00731,t1w_flair_dti_bold
dADNI_s00732,t1w_flair
dADNI_s00733,t1w_flair_dti_bold
dADNI_s00734,t1w_flair
dADNI_s00735,t1w_flair_dti_bold
dADNI_s00737,t1w_flair_dti_bold
dADNI_s00738,t1w_flair
dADNI_s00739,t1w_flair
dADNI_s00740,t1w_flair
dADNI_s00741,t1w_flair_dti_bold
dADNI_s00742,t1w_flair
dADNI_s00743,t1w_flair
dADNI_s00744,t1w
dADNI_s00745,t1w
dADNI_s00746,t1w
dADNI_s00747,t1w
dADNI_s00748,t1w
dADNI_s00749,t1w
dADNI_s00750,t1w
dADNI_s00751,t1w_flair_dti_bold
dADNI_s00752,t1w
dADNI_s00753,t1w
dADNI_s00754,t1w
dADNI_s00755,t1w
dADNI_s00756,t1w
dADNI_s00757,t1w
dADNI_s00758,t1w
dADNI_s00759,t1w
dADNI_s00760,t1w_flair_dti_bold
dADNI_s00761,t1w
dADNI_s00762,t1w
dADNI_s00763,t1w
dADNI_s00764,t1w
dADNI_s00765,t1w_flair
dADNI_s00766,t1w_flair
dADNI_s00767,t1w_flair_dti_bold
dADNI_s00768,t1w_flair
dADNI_s00769,t1w_flair_dti_bold
dADNI_s00770,t1w_flair
dADNI_s00771,t1w_flair_dti_bold
dADNI_s00772,t1w_flair_dti_bold
dADNI_s00773,t1w_flair_dti_bold
dADNI_s00774,t1w_flair_dti_bold
dADNI_s00775,t1w_flair_dti_bold
dADNI_s00776,t1w_flair
dADNI_s00777,t1w_flair
dADNI_s00778,t1w_flair_dti_bold
dADNI_s00779,t1w_flair
dADNI_s00780,t1w_flair_dti_bold
dADNI_s00781,t1w_flair
dADNI_s00782,t1w_flair_bold
dADNI_s00783,t1w_flair_dti_bold
dADNI_s00784,t1w_flair
dADNI_s00785,t1w_flair_dti_bold
dADNI_s00786,t1w_flair_dti_bold
dADNI_s00787,t1w_flair
dADNI_s00788,t1w_flair_dti_bold
dADNI_s00789,t1w_flair
dADNI_s00790,t1w_flair
dADNI_s00791,t1w_flair_dti_bold
dADNI_s00792,t1w
dADNI_s00793,t1w
dADNI_s00794,t1w
dADNI_s00795,t1w
dADNI_s00796,t1w
dADNI_s00797,t1w
dADNI_s00798,t1w
dADNI_s00799,t1w_flair
dADNI_s00800,t1w_flair
dADNI_s00801,t1w_flair_dti_bold
dADNI_s00802,t1w_flair
dADNI_s00803,t1w_flair_dti
dADNI_s00804,t1w
dADNI_s00805,t1w
dADNI_s00806,t1w
dADNI_s00807,t1w
dADNI_s00808,t1w
dADNI_s00809,t1w
dADNI_s00810,t1w
dADNI_s00811,t1w_flair_dti_bold
dADNI_s00812,t1w_flair_dti
dADNI_s00813,t1w_flair_dti
dADNI_s00814,t1w_flair_dti
dADNI_s00815,t1w_flair_dti_bold
dADNI_s00816,t1w_flair_dti
dADNI_s00817,t1w_flair_dti
dADNI_s00818,t1w_flair_dti
dADNI_s00819,t1w
dADNI_s00820,t1w
dADNI_s00821,t1w
dADNI_s00822,t1w_flair_bold
dADNI_s00823,t1w
dADNI_s00824,t1w_flair_bold
dADNI_s00825,t1w_flair_bold
dADNI_s00826,t1w_flair_bold
dADNI_s00827,t1w_flair_bold
dADNI_s00828,t1w_flair_bold
dADNI_s00829,t1w_flair_bold
dADNI_s00830,t1w_flair_bold
dADNI_s00831,t1w_flair_bold
dADNI_s00832,t1w
dADNI_s00833,t1w
dADNI_s00834,t1w
dADNI_s00835,t1w
dADNI_s00836,t1w
dADNI_s00837,t1w
dADNI_s00838,t1w_flair_dti_bold
dADNI_s00839,t1w
dADNI_s00840,t1w
dADNI_s00841,t1w
dADNI_s00842,t1w
dADNI_s00843,t1w
dADNI_s00844,t1w
dADNI_s00845,t1w
dADNI_s00846,t1w
dADNI_s00847,t1w_flair_dti
dADNI_s00848,t1w_flair_dti
dADNI_s00849,t1w_flair_dti
dADNI_s00850,t1w_flair_dti
dADNI_s00851,t1w_flair_dti_bold
dADNI_s00852,t1w
dADNI_s00853,t1w
